IDPERSONANATURAL;CONTRASENA;USUARIO;UNIANDINO;NOMBRE
1;contrasena1;usuario1;1;nombre1
2;contrasena2;usuario2;0;nombre2
3;contrasena3;usuario3;0;nombre3
4;contrasena4;usuario4;0;nombre4
5;contrasena5;usuario5;0;nombre5
6;contrasena6;usuario6;1;nombre6
7;contrasena7;usuario7;1;nombre7
8;contrasena8;usuario8;1;nombre8
9;contrasena9;usuario9;1;nombre9
10;contrasena10;usuario10;0;nombre10
11;contrasena11;usuario11;0;nombre11
12;contrasena12;usuario12;0;nombre12
13;contrasena13;usuario13;1;nombre13
14;contrasena14;usuario14;0;nombre14
15;contrasena15;usuario15;0;nombre15
16;contrasena16;usuario16;1;nombre16
17;contrasena17;usuario17;1;nombre17
18;contrasena18;usuario18;0;nombre18
19;contrasena19;usuario19;0;nombre19
